position,duration,channel,type,name
0,0,-1,348,
14555852,0,-1,1,{"task_state":"completed" "plan_step":"0"}}
14555857,0,-1,2,{"communication":" {"type":"success" "view":"android.widget.ListView" "item":"0"}}
14555870,0,-1,3,{"communication":" {"type":"scrolled" "view":"android.widget.ListView" "item":"0"}}
14556525,0,-1,3,{"communication":" {"type":"scrolled" "view":"android.widget.ListView" "item":"0"}}
14556719,0,-1,4,{"communication":" {"type":"selection" "view":"android.support.v7.widget.AppCompatTextView" "item":"0"}}
14556877,0,-1,1,{"task_state":"completed" "plan_step":"0"}}
14556880,0,-1,2,{"communication":" {"type":"success" "view":"android.widget.ListView" "item":"0"}}
14556892,0,-1,3,{"communication":" {"type":"scrolled" "view":"android.widget.ListView" "item":"0"}}
14557532,0,-1,3,{"communication":" {"type":"scrolled" "view":"android.widget.ListView" "item":"0"}}
14557858,0,-1,4,{"communication":" {"type":"selection" "view":"android.support.v7.widget.AppCompatTextView" "item":"0"}}
14558641,0,-1,5,{"communication":" {"type":"checked" "view":"android.webkit.WebView" "step":"0"}}
14558645,0,-1,2,{"communication":" {"type":"success" "view":"android.widget.ListView" "item":"0"}}
14558654,0,-1,3,{"communication":" {"type":"scrolled" "view":"android.widget.ListView" "item":"0"}}
14559013,0,-1,1,{"task_state":"completed" "plan_step":"0"}}
14559026,0,-1,3,{"communication":" {"type":"scrolled" "view":"android.widget.ListView" "item":"0"}}
14561961,0,-1,6,{"communication":" {"type":"checked" "view":"android.webkit.WebView" "step":"1"}}
14561965,0,-1,7,{"communication":" {"type":"success" "view":"android.widget.ListView" "item":"1"}}
14561974,0,-1,3,{"communication":" {"type":"scrolled" "view":"android.widget.ListView" "item":"0"}}
14563959,0,-1,8,{"communication":" {"type":"selection" "view":"android.support.v7.widget.AppCompatTextView" "item":"1"}}
14564851,0,-1,6,{"communication":" {"type":"checked" "view":"android.webkit.WebView" "step":"1"}}
14564854,0,-1,7,{"communication":" {"type":"success" "view":"android.widget.ListView" "item":"1"}}
14564863,0,-1,3,{"communication":" {"type":"scrolled" "view":"android.widget.ListView" "item":"0"}}
