frame,face_id,timestamp,confidence,success,position,aoi,tester,client_id,eye_l_X,eye_l_Y,eye_l_Z,eye_r_X,eye_r_Y,eye_r_Z,gaze_l_X,gaze_l_Y,gaze_l_Z
102,0,1560527842.0,0.975,1,4,20,49_,cam_4,-10.304533750000001,75.11175,659.506,-33.840650000000004,122.42375,698.925375,-0.572696,-0.31012199999999995,-0.758844
103,0,1560527846.0,0.975,1,4,15,49_,cam_4,-52.398174999999995,67.4528,727.225,-77.638475,113.664875,775.7543750000001,-0.521316,-0.235752,-0.820153
104,0,1560527851.0,0.975,1,4,24,49_,cam_4,-48.6534875,66.7959875,684.581875,-71.5575125,114.139125,739.3981250000002,-0.559851,-0.23309499999999997,-0.795131
105,0,1560527856.0,0.975,1,4,11,49_,cam_4,3.5855449999999998,135.48862499999998,707.4235000000001,-6.9764937499999995,187.678,739.745375,-0.638165,-0.229136,-0.735012
106,0,1560527856.0,0.975,1,4,11,49_,cam_4,4.820592499999999,137.57387500000002,715.78225,-4.299401250000001,190.18737499999997,753.89475,-0.648721,-0.212417,-0.73078
111,0,1560527869.0,0.975,1,4,23,49_,cam_4,10.3121175,113.59175,642.687375,3.25340875,163.53375,655.9155000000001,-0.689334,-0.252755,-0.678921
118,0,1560527883.0,0.975,1,4,3,49_,cam_4,-137.37525,219.96587499999998,899.9545,-168.669125,261.1245,958.863625,-0.48383999999999994,-0.222365,-0.846435
119,0,1560527883.0,0.975,1,4,3,49_,cam_4,-134.78825,214.57862500000002,879.0025,-163.44975,254.92887499999998,933.2795,-0.49403500000000006,-0.23883800000000002,-0.835994
120,0,1560527883.0,0.975,1,4,3,49_,cam_4,-139.142875,219.06374999999997,895.3902499999999,-170.84062500000002,247.47637500000002,937.3641250000001,-0.47085299999999997,-0.176334,-0.86441
125,0,1560527901.0,0.975,1,4,10,49_,cam_4,-30.967624999999998,128.19537499999998,689.398875,-45.563950000000006,179.26475,711.2258750000001,-0.599376,-0.351875,-0.7189800000000001
135,0,1560527925.0,0.925,1,4,5,49_,cam_4,72.412025,121.53549999999998,720.342,26.738462499999997,146.60674999999998,788.078875,-0.159946,-0.218389,-0.962665
136,0,1560527928.0,0.975,1,4,5,49_,cam_4,208.317375,62.081387500000005,673.5627499999999,158.350625,74.14668750000001,682.44425,-0.143049,-0.0400976,-0.9889030000000001
